datetime,msn,location,daily_consumption_load,energy_supplied,energy_billed,Temperature (deg_C),,,,
02-01-2021 18:00,ACE43B7D,Chennai,2.29,2.64,2.32,36,,,,
02-01-2021 18:15,ACE43B7D,Chennai,2.02,2.08,2.06,24,,,,
02-01-2021 18:30,ACE43B7D,Chennai,2.12,2.41,2.15,12,,,,
02-01-2021 18:45,ACE43B7D,Chennai,3.71,4.3,3.81,15,,,,
02-01-2021 19:00,ACE43B7D,Chennai,4.21,4.49,4.13,10,,,,
02-01-2021 19:15,ACE43B7D,Chennai,0.53,0.64,0.56,29,,,,
02-01-2021 19:30,ACE43B7D,Chennai,4.23,4.88,4.27,37,,,,
02-01-2021 19:45,ACE43B7D,Chennai,3.93,4.24,4.13,32,,,,
02-01-2021 20:00,ACE43B7D,Chennai,4,4.55,4.15,36,,,,
02-01-2021 20:15,ACE43B7D,Chennai,1.59,1.83,1.67,17,,,,
02-01-2021 20:30,ACE43B7D,Chennai,3.64,4.09,3.83,29,,,,
02-01-2021 20:45,ACE43B7D,Chennai,3.78,4.13,3.91,19,,,,
02-01-2021 21:00,ACE43B7D,Chennai,0.93,1.03,0.9,35,,,,
02-01-2021 21:15,ACE43B7D,Chennai,2.93,3.36,2.89,11,,,,
02-01-2021 21:30,ACE43B7D,Chennai,1.15,1.34,1.17,33,,,,
02-01-2021 21:45,ACE43B7D,Chennai,0.91,0.99,0.9,16,,,,
02-01-2021 22:00,ACE43B7D,Chennai,2.66,2.78,2.57,33,,,,
02-01-2021 22:15,ACE43B7D,Chennai,3.56,3.79,3.4,36,,,,
02-01-2021 22:30,ACE43B7D,Chennai,1.87,1.99,1.83,36,,,,
02-01-2021 22:45,ACE43B7D,Chennai,4.33,4.82,4.23,35,,,,
02-01-2021 23:00,ACE43B7D,Chennai,2.41,2.44,2.31,23,,,,
02-01-2021 23:15,ACE43B7D,Chennai,1.15,1.31,1.2,25,,,,
02-01-2021 23:30,ACE43B7D,Chennai,3.17,3.31,3.26,26,,,,
02-01-2021 23:45,ACE43B7D,Chennai,3.3,3.43,3.32,14,,,,
03-01-2021 00:00,ACE43B7D,Chennai,1.37,1.54,1.42,29,,,,
03-01-2021 00:15,ACE43B7D,Chennai,1.78,1.99,1.81,27,,,,
03-01-2021 00:30,ACE43B7D,Chennai,3.76,4.09,3.71,10,,,,
03-01-2021 00:45,ACE43B7D,Chennai,4.19,4.64,4.34,21,,,,
03-01-2021 01:00,ACE43B7D,Chennai,0.56,0.61,0.56,19,,,,
03-01-2021 01:15,ACE43B7D,Chennai,0.88,0.94,0.92,25,,,,
03-01-2021 01:30,ACE43B7D,Chennai,0.81,0.91,0.85,10,,,,
03-01-2021 01:45,ACE43B7D,Chennai,2.89,3.26,2.8,18,,,,
03-01-2021 02:00,ACE43B7D,Chennai,2.81,2.84,2.72,28,,,,
03-01-2021 02:15,ACE43B7D,Chennai,4.09,4.15,4.08,12,,,,
03-01-2021 02:30,ACE43B7D,Chennai,4.25,4.42,4.17,38,,,,
03-01-2021 02:45,ACE43B7D,Chennai,3.55,3.72,3.44,24,,,,
03-01-2021 03:00,ACE43B7D,Chennai,4.12,4.62,4.16,11,,,,
03-01-2021 03:15,ACE43B7D,Chennai,3.79,4.01,3.81,32,,,,
03-01-2021 03:30,ACE43B7D,Chennai,2.06,2.32,2.1,35,,,,
03-01-2021 03:45,ACE43B7D,Chennai,2.53,2.79,2.47,19,,,,
03-01-2021 04:00,ACE43B7D,Chennai,2.18,2.33,2.12,15,,,,
03-01-2021 04:15,ACE43B7D,Chennai,0.76,0.82,0.79,14,,,,
03-01-2021 04:30,ACE43B7D,Chennai,3.83,3.99,3.74,18,,,,
03-01-2021 04:45,ACE43B7D,Chennai,3.56,3.76,3.69,34,,,,
03-01-2021 05:00,ACE43B7D,Chennai,3.46,3.88,3.46,13,,,,
03-01-2021 05:15,ACE43B7D,Chennai,3.41,3.6,3.46,37,,,,
03-01-2021 05:30,ACE43B7D,Chennai,4.74,4.71,4.67,38,,,,
03-01-2021 05:45,ACE43B7D,Chennai,2.67,2.95,2.59,31,,,,
03-01-2021 06:00,ACE43B7D,Chennai,1.36,1.38,1.35,27,,,,
03-01-2021 06:15,ACE43B7D,Chennai,1.07,1.21,1.07,16,,,,
03-01-2021 06:30,ACE43B7D,Chennai,0.83,0.92,0.8,19,,,,
03-01-2021 06:45,ACE43B7D,Chennai,4.38,4.37,4.3,11,,,,
03-01-2021 07:00,ACE43B7D,Chennai,3.45,4,3.55,29,,,,
03-01-2021 07:15,ACE43B7D,Chennai,1.9,2.14,1.84,25,,,,
03-01-2021 07:30,ACE43B7D,Chennai,1.07,1.07,1.06,22,,,,
03-01-2021 07:45,ACE43B7D,Chennai,4.61,4.5,4.45,27,,,,
03-01-2021 08:00,ACE43B7D,Chennai,2.33,2.41,2.25,27,,,,
03-01-2021 08:15,ACE43B7D,Chennai,2.81,3.1,2.8,22,,,,
03-01-2021 08:30,ACE43B7D,Chennai,3.56,3.97,3.65,37,,,,
03-01-2021 08:45,ACE43B7D,Chennai,4.39,4.82,4.32,11,,,,
03-01-2021 09:00,ACE43B7D,Chennai,2.28,2.45,2.34,37,,,,
03-01-2021 09:15,ACE43B7D,Chennai,3.25,3.31,3.19,21,,,,
03-01-2021 09:30,ACE43B7D,Chennai,3.19,3.36,3.27,19,,,,
03-01-2021 09:45,ACE43B7D,Chennai,0.7,0.72,0.71,34,,,,
03-01-2021 10:00,ACE43B7D,Chennai,4.66,4.59,4.47,27,,,,
03-01-2021 10:15,ACE43B7D,Chennai,0.48,0.55,0.48,36,,,,
03-01-2021 10:30,ACE43B7D,Chennai,3.79,3.99,3.65,24,,,,
03-01-2021 10:45,ACE43B7D,Chennai,3.77,4.07,3.61,26,,,,
03-01-2021 11:00,ACE43B7D,Chennai,3.9,4.62,4.03,11,,,,
03-01-2021 11:15,ACE43B7D,Chennai,3.28,3.62,3.38,13,,,,
03-01-2021 11:30,ACE43B7D,Chennai,4.82,4.93,4.7,33,,,,
03-01-2021 11:45,ACE43B7D,Chennai,3.94,4.22,3.84,33,,,,
03-01-2021 12:00,ACE43B7D,Chennai,1.77,1.86,1.7,11,,,,
03-01-2021 12:15,ACE43B7D,Chennai,2,2.18,1.91,29,,,,
03-01-2021 12:30,ACE43B7D,Chennai,2.17,2.51,2.26,30,,,,
03-01-2021 12:45,ACE43B7D,Chennai,1.49,1.52,1.43,14,,,,
03-01-2021 13:00,ACE43B7D,Chennai,2.45,2.96,2.55,11,,,,
03-01-2021 13:15,ACE43B7D,Chennai,2.9,3.06,2.93,22,,,,
03-01-2021 13:30,ACE43B7D,Chennai,2.71,2.88,2.69,11,,,,
03-01-2021 13:45,ACE43B7D,Chennai,4.17,4.41,4.22,23,,,,
03-01-2021 14:00,ACE43B7D,Chennai,3.97,4.53,3.98,26,,,,
03-01-2021 14:15,ACE43B7D,Chennai,3.92,4.06,3.84,21,,,,
03-01-2021 14:30,ACE43B7D,Chennai,3.82,4.11,3.65,28,,,,
03-01-2021 14:45,ACE43B7D,Chennai,3.8,4.13,3.98,30,,,,
03-01-2021 15:00,ACE43B7D,Chennai,1.14,1.27,1.1,15,,,,
03-01-2021 15:15,ACE43B7D,Chennai,2.24,2.34,2.23,31,,,,
03-01-2021 15:30,ACE43B7D,Chennai,4.78,4.87,4.83,30,,,,
03-01-2021 15:45,ACE43B7D,Chennai,4.05,4.69,4.07,40,,,,
03-01-2021 16:00,ACE43B7D,Chennai,1.6,1.81,1.63,26,,,,
03-01-2021 16:15,ACE43B7D,Chennai,0.8,0.89,0.83,16,,,,
03-01-2021 16:30,ACE43B7D,Chennai,1.48,1.55,1.46,19,,,,
03-01-2021 16:45,ACE43B7D,Chennai,3.34,3.8,3.45,28,,,,
03-01-2021 17:00,ACE43B7D,Chennai,2.95,3.4,2.89,25,,,,
03-01-2021 17:15,ACE43B7D,Chennai,3.48,3.72,3.46,16,,,,
03-01-2021 17:30,ACE43B7D,Chennai,3.52,4.33,3.69,35,,,,
03-01-2021 17:45,ACE43B7D,Chennai,2.36,2.69,2.41,40,,,,
03-01-2021 18:00,ACE43B7D,Chennai,3.18,3.58,3.19,24,,,,
03-01-2021 18:15,ACE43B7D,Chennai,1.76,1.75,1.7,18,,,,
03-01-2021 18:30,ACE43B7D,Chennai,1,1.11,1,33,,,,
03-01-2021 18:45,ACE43B7D,Chennai,2.91,2.85,2.79,26,,,,
03-01-2021 19:00,ACE43B7D,Chennai,3.57,3.79,3.66,26,,,,
03-01-2021 19:15,ACE43B7D,Chennai,3.61,4.23,3.72,37,,,,
03-01-2021 19:30,ACE43B7D,Chennai,0.52,0.61,0.53,28,,,,
03-01-2021 19:45,ACE43B7D,Chennai,3.1,3.21,2.97,24,,,,
03-01-2021 20:00,ACE43B7D,Chennai,4.24,4.79,4.18,24,,,,
03-01-2021 20:15,ACE43B7D,Chennai,2.96,3.12,3.08,16,,,,
03-01-2021 20:30,ACE43B7D,Chennai,3.84,4.01,3.66,37,,,,
03-01-2021 20:45,ACE43B7D,Chennai,3.08,3.47,3.12,22,,,,
03-01-2021 21:00,ACE43B7D,Chennai,2.82,3.17,2.89,11,,,,
03-01-2021 21:15,ACE43B7D,Chennai,1.88,2.06,1.96,30,,,,
03-01-2021 21:30,ACE43B7D,Chennai,1.16,1.23,1.11,34,,,,
03-01-2021 21:45,ACE43B7D,Chennai,4.52,4.79,4.51,17,,,,
03-01-2021 22:00,ACE43B7D,Chennai,3.68,4.3,3.87,34,,,,
03-01-2021 22:15,ACE43B7D,Chennai,4.6,4.95,4.41,10,,,,
03-01-2021 22:30,ACE43B7D,Chennai,3.11,3.32,3.16,27,,,,
03-01-2021 22:45,ACE43B7D,Chennai,2.2,2.39,2.29,24,,,,
03-01-2021 23:00,ACE43B7D,Chennai,1.63,1.7,1.61,23,,,,
03-01-2021 23:15,ACE43B7D,Chennai,2.5,2.81,2.55,35,,,,
03-01-2021 23:30,ACE43B7D,Chennai,1.29,1.34,1.24,32,,,,
03-01-2021 23:45,ACE43B7D,Chennai,0.61,0.64,0.59,10,,,,
04-01-2021 00:00,ACE43B7D,Chennai,3.2,3.5,3.14,31,,,,
04-01-2021 00:15,ACE43B7D,Chennai,2.48,2.91,2.48,33,,,,
04-01-2021 00:30,ACE43B7D,Chennai,4.18,4.59,4.4,12,,,,
04-01-2021 00:45,ACE43B7D,Chennai,1.52,1.51,1.46,27,,,,
04-01-2021 01:00,ACE43B7D,Chennai,1.36,1.56,1.4,12,,,,
04-01-2021 01:15,ACE43B7D,Chennai,1.73,1.88,1.67,37,,,,
04-01-2021 01:30,ACE43B7D,Chennai,1.05,1.07,1.03,23,,,,
04-01-2021 01:45,ACE43B7D,Chennai,2.69,2.69,2.59,13,,,,
04-01-2021 02:00,ACE43B7D,Chennai,1.61,1.72,1.54,27,,,,
04-01-2021 02:15,ACE43B7D,Chennai,1.28,1.47,1.31,39,,,,
04-01-2021 02:30,ACE43B7D,Chennai,3.46,3.58,3.57,12,,,,
04-01-2021 02:45,ACE43B7D,Chennai,2.94,3.35,2.88,34,,,,
04-01-2021 03:00,ACE43B7D,Chennai,2.56,2.76,2.66,24,,,,
04-01-2021 03:15,ACE43B7D,Chennai,0.57,0.6,0.56,28,,,,
04-01-2021 03:30,ACE43B7D,Chennai,4.27,4.75,4.39,36,,,,
04-01-2021 03:45,ACE43B7D,Chennai,3.25,3.36,3.28,23,,,,
04-01-2021 04:00,ACE43B7D,Chennai,1.21,1.23,1.16,16,,,,
04-01-2021 04:15,ACE43B7D,Chennai,1.45,1.72,1.52,37,,,,
04-01-2021 04:30,ACE43B7D,Chennai,1.11,1.1,1.07,28,,,,
04-01-2021 04:45,ACE43B7D,Chennai,2.81,2.81,2.73,28,,,,
04-01-2021 05:00,ACE43B7D,Chennai,1.05,1.26,1.08,16,,,,
04-01-2021 05:15,ACE43B7D,Chennai,2.67,2.63,2.6,14,,,,
04-01-2021 05:30,ACE43B7D,Chennai,0.85,0.85,0.84,27,,,,
04-01-2021 05:45,ACE43B7D,Chennai,3.62,3.69,3.46,27,,,,
04-01-2021 06:00,ACE43B7D,Chennai,3.95,4.72,4.1,18,,,,
04-01-2021 06:15,ACE43B7D,Chennai,2.92,3.36,2.86,12,,,,
04-01-2021 06:30,ACE43B7D,Chennai,3.96,4.72,4.03,29,,,,
04-01-2021 06:45,ACE43B7D,Chennai,1.16,1.18,1.11,16,,,,
04-01-2021 07:00,ACE43B7D,Chennai,3.52,3.66,3.48,27,,,,
04-01-2021 07:15,ACE43B7D,Chennai,0.73,0.82,0.71,13,,,,
04-01-2021 07:30,ACE43B7D,Chennai,0.75,0.79,0.75,31,,,,
04-01-2021 07:45,ACE43B7D,Chennai,4.61,4.79,4.72,22,,,,
04-01-2021 08:00,ACE43B7D,Chennai,2.8,2.78,2.76,29,,,,
04-01-2021 08:15,ACE43B7D,Chennai,1.65,1.69,1.67,31,,,,
04-01-2021 08:30,ACE43B7D,Chennai,3.05,3.23,3.19,39,,,,
04-01-2021 08:45,ACE43B7D,Chennai,3.69,3.85,3.57,27,,,,
04-01-2021 09:00,ACE43B7D,Chennai,2.77,3.4,2.91,24,,,,
04-01-2021 09:15,ACE43B7D,Chennai,2.86,3.1,2.95,35,,,,
04-01-2021 09:30,ACE43B7D,Chennai,2.87,2.9,2.84,22,,,,
04-01-2021 09:45,ACE43B7D,Chennai,3.66,3.88,3.82,22,,,,
04-01-2021 10:00,ACE43B7D,Chennai,2,2.09,2.06,19,,,,
04-01-2021 10:15,ACE43B7D,Chennai,3.58,4.22,3.64,22,,,,
